종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1890","42","2.27","100281585600"
"054620","APS","KOSDAQ","금융","5180","-80","-1.52","103052064780"
"265520","AP시스템","KOSDAQ","기계·장비","15850","90","0.57","242210522850"
"211270","AP위성","KOSDAQ","운송장비·부품","13460","830","6.57","203007811840"
"109960","AP헬스케어","KOSDAQ","유통","510","-11","-2.11","102402527190"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","2775","-55","-1.94","174178144725"
"013720","CBI","KOSDAQ","운송장비·부품","810","4","0.50","36148790160"
"083790","CG인바이츠","KOSDAQ","일반서비스","2415","10","0.42","185699449530"
"035760","CJ ENM","KOSDAQ","오락·문화","53700","0","0.00","1177595569800"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","10150","60","0.59","132614439300"
"051500","CJ프레시웨이","KOSDAQ","유통","17290","-170","-0.97","205259721940"
"058820","CMG제약","KOSDAQ","제약","1765","-3","-0.17","245144810660"
"023460","CNH","KOSDAQ","금융","109","0","0.00","4054800000"
"056730","CNT85","KOSDAQ","건설","693","2","0.29","51359051898"
"065770","CS","KOSDAQ","전기·전자","2180","427","24.36","42316263400"
"083660","CSA 코스믹","KOSDAQ","화학","1007","-23","-2.23","61675911267"
"456440","DB금융스팩11호","KOSDAQ","금융","2275","0","0.00","12091625000"
"477760","DB금융스팩12호","KOSDAQ","금융","2060","25","1.23","12030400000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스","1000","6","0.60","25258229000"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2215","5","0.23","34366030670"
"025440","DH오토웨어","KOSDAQ","전기·전자","825","6","0.73","25394509800"
"068790","DMS","KOSDAQ","기계·장비","5750","-130","-2.21","141295100750"
"241520","DSC인베스트먼트","KOSDAQ","금융","2870","-10","-0.35","78913878750"
"180400","DXVX","KOSDAQ","일반서비스","1874","15","0.81","92237215568"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5680","-70","-1.22","48989840960"
"050120","ES큐브","KOSDAQ","유통","1895","1","0.05","25703942970"
"214270","FSN","KOSDAQ","IT 서비스","1828","22","1.22","60781846364"
"130500","GH신소재","KOSDAQ","섬유·의류","2760","40","1.47","40144343520"
"900290","GRT","KOSDAQ","금융","3295","20","0.61","266400750000"
"083450","GST","KOSDAQ","기계·장비","16640","-100","-0.60","309807846400"
"297890","HB솔루션","KOSDAQ","기계·장비","2745","40","1.48","200771808930"
"440290","HB인베스트먼트","KOSDAQ","금융","1576","-4","-0.25","42720647760"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1994","47","2.41","184875536504"
"195940","HK이노엔","KOSDAQ","제약","35950","100","0.28","1018459581450"
"028300","HLB","KOSDAQ","제약","73400","300","0.41","9643837582200"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","2115","20","0.95","183435195735"
"067630","HLB생명과학","KOSDAQ","제약","10030","20","0.20","1222494323430"
"024850","HLB이노베이션","KOSDAQ","전기·전자","2590","80","3.19","373747678570"
"187420","HLB제넥스","KOSDAQ","제약","4365","-95","-2.13","126961123320"
"047920","HLB제약","KOSDAQ","일반서비스","23950","-150","-0.62","761969106300"
"115450","HLB테라퓨틱스","KOSDAQ","유통","12390","680","5.81","992933769870"
"046210","HLB파나진","KOSDAQ","제약","2850","30","1.06","121145853450"
"403870","HPSP","KOSDAQ","기계·장비","26450","400","1.54","2201036115200"
"036640","HRS","KOSDAQ","화학","4650","25","0.54","76049820000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2150","0","0.00","9266500000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2110","25","1.20","8883100000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2100","0","0.00","9303000000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2060","5","0.24","8713800000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2090","25","1.21","8840700000"
"095340","ISC","KOSDAQ","유통","70000","-2100","-2.91","1483794060000"
"950170","JTC","KOSDAQ","유통","4040","20","0.50","209055245920"
"067290","JW신약","KOSDAQ","제약","1566","57","3.78","79617792132"
"035900","JYP Ent.","KOSDAQ","오락·문화","67600","-2300","-3.29","2401996459200"
"318000","KBG","KOSDAQ","화학","4670","-10","-0.21","40816841410"
"024840","KBI메탈","KOSDAQ","금속","2025","92","4.76","70691127975"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3175","15","0.47","36512500000"
"455250","KB제25호스팩","KOSDAQ","금융","2050","10","0.49","8825250000"
"458320","KB제26호스팩","KOSDAQ","금융","2135","0","0.00","11753175000"
"464680","KB제27호스팩","KOSDAQ","금융","1950","1","0.05","25164750000"
