종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"049080","기가레인","KOSDAQ","전기·전자","564","14","2.55","47874207708"
"420770","기가비스","KOSDAQ","기계·장비","26950","1700","6.73","341611678100"
"035460","기산텔레콤","KOSDAQ","전기·전자","1760","2","0.11","25656118400"
"308100","까스텔바작","KOSDAQ","유통","3135","70","2.28","20768537955"
"407400","꿈비","KOSDAQ","기타제조","9240","350","3.94","113277539760"
"187790","나노","KOSDAQ","화학","1025","0","0.00","31611850750"
"286750","나노브릭","KOSDAQ","화학","2135","85","4.15","45931448465"
"121600","나노신소재","KOSDAQ","화학","61400","3300","5.68","748839189200"
"247660","나노씨엠에스","KOSDAQ","전기·전자","6850","130","1.93","29755852000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","3315","20","0.61","106444921830"
"091970","나노캠텍","KOSDAQ","화학","663","-5","-0.75","24807797859"
"417010","나노팀","KOSDAQ","기계·장비","7230","260","3.73","142606891440"
"405920","나라셀라","KOSDAQ","유통","3105","15","0.49","39986425980"
"051490","나라엠앤디","KOSDAQ","기계·장비","3810","20","0.53","54102000000"
"137080","나래나노텍","KOSDAQ","기계·장비","4015","110","2.82","44403579330"
"190510","나무가","KOSDAQ","전기·전자","14340","-360","-2.45","233231266560"
"242040","나무기술","KOSDAQ","IT 서비스","1507","-2","-0.13","52151639848"
"089600","나스미디어","KOSDAQ","일반서비스","14240","360","2.59","164730641120"
"293580","나우IB","KOSDAQ","금융","1350","-28","-2.03","128155432500"
"138610","나이벡","KOSDAQ","제약","16430","160","0.98","178973912310"
"130580","나이스디앤비","KOSDAQ","일반서비스","4795","10","0.21","73843000000"
"036800","나이스정보통신","KOSDAQ","통신","18160","310","1.74","181600000000"
"267320","나인테크","KOSDAQ","기계·장비","2000","81","4.22","87328208000"
"111710","남화산업","KOSDAQ","오락·문화","5130","165","3.32","105616440000"
"091590","남화토건","KOSDAQ","건설","4020","75","1.90","47194800000"
"168330","내츄럴엔도텍","KOSDAQ","일반서비스","1348","30","2.28","42805605200"
"094860","네오리진","KOSDAQ","IT 서비스","1037","37","3.70","22191353053"
"253590","네오셈","KOSDAQ","기계·장비","9940","920","10.20","436059490160"
"212560","네오오토","KOSDAQ","운송장비·부품","7940","60","0.76","62527206220"
"095660","네오위즈","KOSDAQ","IT 서비스","18880","370","2.00","412656686080"
"042420","네오위즈홀딩스","KOSDAQ","IT 서비스","18030","370","2.10","159689293980"
"950220","네오이뮨텍","KOSDAQ","일반서비스","1180","30","2.61","116663608700"
"311390","네오크레마","KOSDAQ","음식료·담배","5600","50","0.90","70861218400"
"085910","네오티스","KOSDAQ","운송장비·부품","3195","15","0.47","44521743510"
"092730","네오팜","KOSDAQ","화학","11600","70","0.61","185924672400"
"290660","네오펙트","KOSDAQ","의료·정밀기기","891","8","0.91","41058526509"
"306620","네온테크","KOSDAQ","기계·장비","3070","270","9.64","132282978260"
"153460","네이블","KOSDAQ","IT 서비스","6480","-170","-2.56","42314490720"
"007390","네이처셀","KOSDAQ","제약","21550","900","4.36","1386896711800"
"033640","네패스","KOSDAQ","전기·전자","6870","120","1.78","158416717740"
"330860","네패스아크","KOSDAQ","일반서비스","10950","280","2.62","133415292750"
"089140","넥스턴바이오","KOSDAQ","기계·장비","2910","50","1.75","35416489650"
"389650","넥스트바이오메디컬","KOSDAQ","의료·정밀기기","45250","2600","6.10","365922541500"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","520","-12","-2.26","40726915840"
"396270","넥스트칩","KOSDAQ","전기·전자","14070","190","1.37","254511385800"
"348210","넥스틴","KOSDAQ","기계·장비","53300","1500","2.90","556305425000"
"225570","넥슨게임즈","KOSDAQ","IT 서비스","13710","240","1.78","902942985540"
"217270","넵튠","KOSDAQ","IT 서비스","5580","180","3.33","260452917000"
"104620","노랑풍선","KOSDAQ","일반서비스","4650","150","3.33","73665885900"
"473980","노머스","KOSDAQ","오락·문화","18910","-1740","-8.43","204069477470"
"194700","노바렉스","KOSDAQ","음식료·담배","7520","50","0.67","141036456960"
"285490","노바텍","KOSDAQ","기타제조","15000","450","3.09","158637465000"
"145170","노브랜드","KOSDAQ","섬유·의류","7910","200","2.59","69843986940"
"106520","노블엠앤비","KOSDAQ","의료·정밀기기","411","0","0.00","15904036272"
"376930","노을","KOSDAQ","의료·정밀기기","3155","-35","-1.10","116567974300"
"142280","녹십자엠에스","KOSDAQ","제약","3725","55","1.50","80988674350"
"234690","녹십자웰빙","KOSDAQ","제약","9490","-340","-3.46","168469099240"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","7180","80","1.13","115099427980"
"069140","누리플랜","KOSDAQ","금속","1353","1","0.07","17728011279"
"040160","누리플렉스","KOSDAQ","IT 서비스","2775","25","0.91","33454109625"
"332290","누보","KOSDAQ","화학","998","-1","-0.10","33318033394"
"348340","뉴로메카","KOSDAQ","기계·장비","30950","-2000","-6.07","328113949000"
"060260","뉴보텍","KOSDAQ","화학","1181","9","0.77","15957682629"
"123840","뉴온","KOSDAQ","기계·장비","1598","-12","-0.75","46720741980"
"012340","뉴인텍","KOSDAQ","운송장비·부품","486","1","0.21","24740880732"
"270870","뉴트리","KOSDAQ","음식료·담배","5750","100","1.77","52901288000"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","4560","85","1.90","199238365440"
"085670","뉴프렉스","KOSDAQ","전기·전자","5450","-50","-0.91","133256647450"
"064260","다날","KOSDAQ","IT 서비스","3395","505","17.47","234081990800"
"340360","다보링크","KOSDAQ","전기·전자","2015","31","1.56","87427247180"
"039560","다산네트웍스","KOSDAQ","전기·전자","3495","60","1.75","138073403595"
"154040","다산솔루에타","KOSDAQ","전기·전자","1133","7","0.62","20337456502"
"032190","다우데이타","KOSDAQ","유통","10130","60","0.60","387979000000"
"323350","다원넥스뷰","KOSDAQ","의료·정밀기기","5230","210","4.18","41896337560"
"068240","다원시스","KOSDAQ","전기·전자","9200","80","0.88","351103620400"
"464580","닷밀","KOSDAQ","오락·문화","5650","120","2.17","51685906200"
"020400","대동금속","KOSDAQ","금속","6720","110","1.66","21431195520"
"008830","대동기어","KOSDAQ","기계·장비","14690","-300","-2.00","132026668800"
"048470","대동스틸","KOSDAQ","유통","3210","30","0.94","32100000000"
"004780","대륙제관","KOSDAQ","금속","3940","50","1.29","62658604060"
"017650","대림제지","KOSDAQ","종이·목재","6630","40","0.61","59670000000"
"007720","대명소노시즌","KOSDAQ","유통","915","43","4.93","92232411750"
"389260","대명에너지","KOSDAQ","건설","12250","110","0.91","208862500000"
"317850","대모","KOSDAQ","기계·장비","8980","100","1.13","74753291600"
"290670","대보마그네틱","KOSDAQ","전기·전자","18040","-310","-1.69","141752186400"
"078140","대봉엘에스","KOSDAQ","제약","14100","540","3.98","156320763900"
"065150","대산F&B","KOSDAQ","유통","145","0","0.00","18165948725"
"036480","대성미생물","KOSDAQ","제약","9450","-100","-1.05","35910000000"
"027830","대성창투","KOSDAQ","금융","1945","15","0.78","105030000000"
"104040","대성파인텍","KOSDAQ","운송장비·부품","860","28","3.37","40613488820"
"129920","대성하이텍","KOSDAQ","기계·장비","3340","115","3.57","45808277020"
"442310","대신밸런스제14호스팩","KOSDAQ","금융","2135","-20","-0.93","14325850000"
"457390","대신밸런스제15호스팩","KOSDAQ","금융","2200","0","0.00","15477000000"
"457630","대신밸런스제16호스팩","KOSDAQ","금융","2095","0","0.00","15314450000"
"471050","대신밸런스제17호스팩","KOSDAQ","금융","2055","10","0.49","12453300000"
"478780","대신밸런스제18호스팩","KOSDAQ","금융","2020","5","0.25","15978200000"
"482690","대신밸런스제19호스팩","KOSDAQ","금융","1996","-3","-0.15","11207540000"
"020180","대신정보통신","KOSDAQ","IT 서비스","1094","26","2.43","42041233010"
"045390","대아티아이","KOSDAQ","전기·전자","3075","10","0.33","216705634275"
"108380","대양전기공업","KOSDAQ","운송장비·부품","12960","-110","-0.84","123992635680"
"007680","대원","KOSDAQ","건설","4105","0","0.00","55197775770"
"048910","대원미디어","KOSDAQ","유통","8480","700","9.00","106669462080"
"005710","대원산업","KOSDAQ","운송장비·부품","6090","180","3.05","122028984000"
"290380","대유","KOSDAQ","화학","2300","0","0.00","56841307600"
"120240","대정화금","KOSDAQ","화학","13080","80","0.62","94050314280"
"003310","대주산업","KOSDAQ","음식료·담배","1450","1","0.07","51318907500"
"078600","대주전자재료","KOSDAQ","전기·전자","76500","4100","5.66","1184265364500"
"096350","대창솔루션","KOSDAQ","금속","315","7","2.27","51584717835"
"140520","대창스틸","KOSDAQ","금속","2045","-50","-2.39","43168401935"
"131220","대한과학","KOSDAQ","유통","4660","10","0.22","34737923400"
"010170","대한광통신","KOSDAQ","전기·전자","879","49","5.90","65495314914"
"054670","대한뉴팜","KOSDAQ","제약","7040","170","2.47","101058636800"
"023910","대한약품","KOSDAQ","제약","26150","350","1.36","156900000000"
"021040","대호특수강","KOSDAQ","금속","964","59","6.52","20923402136"
"021045","대호특수강우","KOSDAQ","금속","2915","65","2.28","2473354180"
"067080","대화제약","KOSDAQ","제약","11250","350","3.21","209437312500"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","9600","190","2.02","141752217600"
"032860","더라미","KOSDAQ","일반서비스","1255","49","4.06","50696808065"
"393890","더블유씨피","KOSDAQ","전기·전자","11610","650","5.93","392918901840"
"299170","더블유에스아이","KOSDAQ","유통","1310","26","2.02","39336631530"
"224060","더코디","KOSDAQ","기계·장비","4160","-35","-0.83","21468603520"
"043090","더테크놀로지","KOSDAQ","유통","275","18","7.00","20490153750"
"213420","덕산네오룩스","KOSDAQ","전기·전자","29450","2000","7.29","731278221550"
"317330","덕산테코피아","KOSDAQ","화학","31250","1000","3.31","639893250000"
"077360","덕산하이메탈","KOSDAQ","전기·전자","3975","115","2.98","180612082950"
"090410","덕신이피씨","KOSDAQ","금속","1565","15","0.97","72121608675"
"263600","덕우전자","KOSDAQ","전기·전자","4970","90","1.84","79173640700"
"194480","데브시스터즈","KOSDAQ","IT 서비스","29300","950","3.35","352791045000"
"263800","데이타솔루션","KOSDAQ","유통","4490","-30","-0.66","72825016200"
"206560","덱스터","KOSDAQ","오락·문화","7130","-90","-1.25","181185677680"
"261200","덴티스","KOSDAQ","의료·정밀기기","6050","100","1.68","95648685000"
"067990","도이치모터스","KOSDAQ","유통","4420","15","0.34","128982451000"
"006620","동구바이오제약","KOSDAQ","제약","5050","150","3.06","143748209600"
"100130","동국S&C","KOSDAQ","금속","2535","10","0.40","144857505000"
"005160","동국산업","KOSDAQ","금속","4590","180","4.08","248982172380"
"075970","동국알앤에스","KOSDAQ","비금속","2770","160","6.13","50968000000"
"086450","동국제약","KOSDAQ","제약","16300","0","0.00","724698000000"
"099410","동방선기","KOSDAQ","운송장비·부품","3090","75","2.49","43260000000"
"033500","동성화인텍","KOSDAQ","화학","15150","-480","-3.07","454340834100"
"025950","동신건설","KOSDAQ","건설","54200","-4100","-7.03","455280000000"
"088130","동아엘텍","KOSDAQ","기계·장비","3635","-15","-0.41","63559116390"
"041930","동아화성","KOSDAQ","화학","5700","270","4.97","90060000000"
"060380","동양에스텍","KOSDAQ","금속","1421","15","1.07","27993700000"
"079960","동양이엔피","KOSDAQ","전기·전자","18420","290","1.60","144781200000"
"228340","동양파일","KOSDAQ","비금속","1799","25","1.41","35980000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","1938","8","0.41","50061958632"
"094170","동운아나텍","KOSDAQ","전기·전자","19150","620","3.35","365137033200"
"013120","동원개발","KOSDAQ","건설","2345","20","0.86","212944994500"
"109860","동일금속","KOSDAQ","금속","8150","10","0.12","74165000000"
"032960","동일기연","KOSDAQ","전기·전자","10530","10","0.10","41975981190"
"023790","동일스틸럭스","KOSDAQ","금속","995","17","1.74","20737128325"
"005290","동진쎄미켐","KOSDAQ","화학","22200","1200","5.71","1141401766800"
"025900","동화기업","KOSDAQ","종이·목재","8710","500","6.09","440353952350"
"131970","두산테스나","KOSDAQ","일반서비스","25850","1250","5.08","499609102300"
"073190","듀오백","KOSDAQ","기타제조","1899","-3","-0.16","22727307960"
"176750","듀켐바이오","KOSDAQ","제약","7970","-80","-0.99","226788103400"
"030350","드래곤플라이","KOSDAQ","IT 서비스","1294","11","0.86","17957865436"
"203650","드림시큐리티","KOSDAQ","IT 서비스","4020","155","4.01","203435131080"
"223250","드림씨아이에스","KOSDAQ","일반서비스","3010","25","0.84","71635965240"
"060570","드림어스컴퍼니","KOSDAQ","오락·문화","1759","-59","-3.25","133018346907"
"362990","드림인사이트","KOSDAQ","일반서비스","1855","45","2.49","31165064770"
"217620","디딤이앤에프","KOSDAQ","일반서비스","3810","0","0.00","26803681470"
"016670","디모아","KOSDAQ","유통","3700","45","1.23","18284830200"
"187870","디바이스이엔지","KOSDAQ","기계·장비","11930","50","0.42","83946745370"
"489730","디비금융제13호스팩","KOSDAQ","금융","1942","2","0.10","12296744000"
"110990","디아이티","KOSDAQ","기계·장비","13390","770","6.10","253071000000"
"263690","디알젬","KOSDAQ","의료·정밀기기","5840","50","0.86","66141562400"
"214680","디알텍","KOSDAQ","의료·정밀기기","2380","15","0.63","176142024520"
"347850","디앤디파마텍","KOSDAQ","일반서비스","59500","10400","21.18","628800105500"
"263720","디앤씨미디어","KOSDAQ","오락·문화","22000","450","2.09","275538406000"
"376300","디어유","KOSDAQ","IT 서비스","34750","950","2.81","824909608500"
"109740","디에스케이","KOSDAQ","기계·장비","4415","-30","-0.67","113511371850"
"196490","디에이테크놀로지","KOSDAQ","기계·장비","203","0","0.00","36245520080"
"066900","디에이피","KOSDAQ","전기·전자","2300","-20","-0.86","52312356900"
"127120","디엔에이링크","KOSDAQ","일반서비스","5880","260","4.63","132204996840"
"092070","디엔에프","KOSDAQ","화학","9390","890","10.47","108659746620"
"039840","디오","KOSDAQ","의료·정밀기기","16650","320","1.96","249446220750"
"219550","디와이디","KOSDAQ","유통","552","2","0.36","55838130768"
"310870","디와이씨","KOSDAQ","운송장비·부품","1636","21","1.30","33844375356"
"104460","디와이피엔에프","KOSDAQ","기계·장비","12660","-150","-1.17","135634492500"
"079810","디이엔티","KOSDAQ","기계·장비","5450","240","4.61","120053112300"
"113810","디젠스","KOSDAQ","운송장비·부품","1827","-33","-1.77","59611449177"
"043360","디지아이","KOSDAQ","전기·전자","1976","-23","-1.15","17784000000"
"197140","디지캡","KOSDAQ","IT 서비스","2360","-5","-0.21","30711043440"
"068930","디지털대성","KOSDAQ","일반서비스","6540","-180","-2.68","180996736680"
"033130","디지틀조선","KOSDAQ","IT 서비스","1685","15","0.90","62539224895"
"105740","디케이락","KOSDAQ","기계·장비","7340","-80","-1.08","74636885420"
"263020","디케이앤디","KOSDAQ","화학","3020","-5","-0.17","43789489620"
"290550","디케이티","KOSDAQ","전기·전자","8000","100","1.27","160009840000"
"066670","디티씨","KOSDAQ","전기·전자","2910","40","1.39","54393481380"
"187220","디티앤씨","KOSDAQ","일반서비스","3465","60","1.76","40533642765"
"383930","디티앤씨알오","KOSDAQ","일반서비스","5870","-20","-0.34","74962905440"
"131180","딜리","KOSDAQ","전기·전자","847","7","0.83","24859450000"
"315640","딥노이드","KOSDAQ","IT 서비스","5850","110","1.92","131164417800"
"223310","딥마인드","KOSDAQ","유통","2815","5","0.18","64292840625"
"317120","라닉스","KOSDAQ","전기·전자","3485","245","7.56","33665100000"
"462510","라메디텍","KOSDAQ","의료·정밀기기","8470","140","1.68","73271725450"
"042510","라온시큐어","KOSDAQ","IT 서비스","2195","50","2.33","122976786845"
"232680","라온테크","KOSDAQ","기계·장비","6930","50","0.73","86862241620"
"418420","라온텍","KOSDAQ","전기·전자","3845","150","4.06","115766924885"
"300120","라온피플","KOSDAQ","IT 서비스","4115","-60","-1.44","85838949380"
"171120","라이온켐텍","KOSDAQ","화학","2510","-15","-0.59","90113417600"
"388790","라이콤","KOSDAQ","전기·전자","3305","75","2.32","98865538650"
"347700","라이프시맨틱스","KOSDAQ","IT 서비스","4580","110","2.46","93349619540"
"214260","라파스","KOSDAQ","화학","15910","70","0.44","141956386330"
"171010","램테크놀러지","KOSDAQ","화학","3045","80","2.70","43539699840"
"084650","랩지노믹스","KOSDAQ","일반서비스","2705","75","2.85","200819172950"
"217500","러셀","KOSDAQ","기계·장비","1591","51","3.31","50612892000"
"038390","레드캡투어","KOSDAQ","일반서비스","8650","-150","-1.70","144635110300"
"294140","레몬","KOSDAQ","화학","2960","15","0.51","62160000000"
"443250","레뷰코퍼레이션","KOSDAQ","일반서비스","12690","180","1.44","140988323790"
"228670","레이","KOSDAQ","의료·정밀기기","6670","690","11.54","103472063510"
"228850","레이언스","KOSDAQ","의료·정밀기기","6140","-60","-0.97","101868825960"
"412350","레이저쎌","KOSDAQ","기계·장비","3940","65","1.68","34384269680"
"199550","레이저옵텍","KOSDAQ","의료·정밀기기","5800","200","3.57","67732092600"
"281740","레이크머티리얼즈","KOSDAQ","화학","11690","790","7.25","768390106120"
"277810","레인보우로보틱스","KOSDAQ","기계·장비","233000","21500","10.17","4520166914000"
"215100","로보로보","KOSDAQ","전기·전자","4005","-270","-6.32","81495558270"
"090360","로보스타","KOSDAQ","기계·장비","24500","-1400","-5.41","238875000000"
"108490","로보티즈","KOSDAQ","기계·장비","25050","-1450","-5.47","327165149250"
"900260","로스웰","KOSDAQ","금융","587","10","1.73","21150366056"
"067730","로지시스","KOSDAQ","IT 서비스","2860","0","0.00","27667416920"
"071280","로체시스템즈","KOSDAQ","기계·장비","16750","-340","-1.99","256218100250"
"328130","루닛","KOSDAQ","IT 서비스","66300","700","1.07","1918914270000"
"038060","루멘스","KOSDAQ","전기·전자","1127","24","2.18","54212158763"
"474170","루미르","KOSDAQ","운송장비·부품","11210","140","1.26","198727472160"
"141080","리가켐바이오","KOSDAQ","일반서비스","118100","9300","8.55","4323680917800"
"058470","리노공업","KOSDAQ","전기·전자","209000","11000","5.56","3185655330000"
"016100","리더스코스메틱","KOSDAQ","종이·목재","2515","25","1.00","48038748410"
"012700","리드코프","KOSDAQ","유통","4075","85","2.13","107768000125"
"302550","리메드","KOSDAQ","의료·정밀기기","3625","5","0.14","111063040000"
"073570","리튬포어스","KOSDAQ","기타제조","1520","55","3.75","55008035440"
"377450","리파인","KOSDAQ","IT 서비스","13320","450","3.50","230835600000"
"277070","린드먼아시아","KOSDAQ","금융","4180","0","0.00","57232560000"
"042500","링네트","KOSDAQ","IT 서비스","4690","20","0.43","89438928460"
"193250","링크드","KOSDAQ","전기·전자","600","30","5.26","37994026200"
"219420","링크제니시스","KOSDAQ","IT 서비스","5840","-90","-1.52","66981920880"
"439090","마녀공장","KOSDAQ","화학","15310","420","2.82","250751160600"
"195500","마니커에프앤지","KOSDAQ","음식료·담배","2815","-15","-0.53","44978070000"
"377480","마음AI","KOSDAQ","IT 서비스","20450","100","0.49","127592580700"
"305090","마이크로디지탈","KOSDAQ","의료·정밀기기","10600","810","8.27","176359196000"
"098120","마이크로컨텍솔","KOSDAQ","전기·전자","5300","190","3.72","44057659800"
"424980","마이크로투나노","KOSDAQ","전기·전자","6330","200","3.26","37466573700"
"038290","마크로젠","KOSDAQ","일반서비스","16420","70","0.43","178015788000"
"267980","매일유업","KOSDAQ","음식료·담배","35100","400","1.15","275311693800"
"005990","매일홀딩스","KOSDAQ","음식료·담배","8500","30","0.35","116605584000"
"093520","매커스","KOSDAQ","유통","8820","30","0.34","142558471440"
"377030","맥스트","KOSDAQ","IT 서비스","1307","92","7.57","39564042774"
"100590","머큐리","KOSDAQ","전기·전자","4115","55","1.35","65140544645"
"067280","멀티캠퍼스","KOSDAQ","일반서비스","29250","-600","-2.01","173358285750"
"072870","메가스터디","KOSDAQ","오락·문화","10720","20","0.19","127792680480"
"215200","메가스터디교육","KOSDAQ","일반서비스","42450","200","0.47","486559989750"
"133750","메가엠디","KOSDAQ","일반서비스","2215","55","2.55","51846675555"
"446540","메가터치","KOSDAQ","전기·전자","3130","80","2.62","65013230000"
"235980","메드팩토","KOSDAQ","일반서비스","4625","110","2.44","158522434625"
